"","","OPEN INTEREST AT THE BEGINNING OF NEW EXPIRY","","","","","","","","","","","","","OPENING PRICE","",""
"Symbol (214)","","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","Jan 26","Feb 26","Mar 26","Apr 26","May 26","Jun 26","MoM OI Chg %","May 26","Jun 26","MoM Price Chg%"
"LUPIN","-","9540825","11527275","10661550","10685775","10442250","9480050","7055850","6484225","7504225","5924500","6880325","6936000","0.81","2307.6","2279.3","-1.23"
"SONACOMS","-","19129950","20302800","24596250","23532600","17782800","13032250","14556675","15058925","12967850","12398225","14848225","14967050","0.8","602.8","609.25","1.07"
"JINDALSTEL","-","14555625","11638125","12549375","11871250","13960625","11351875","14019375","10290000","9296250","9936875","12081250","12166875","0.71","1274.1","1232","-3.3"
"BSE","-","9479250","10953750","12196500","13981125","12681750","9055875","11908125","9631875","9606375","6878625","7561125","7613200","0.69","3642.5","4421.4","21.38"
"SRF","-","5050200","3874400","3368400","2830800","2986000","4157000","3626000","3337400","3563400","3508200","3396800","3419200","0.66","2546.4","2762.1","8.47"
"IOC","-","92142375","69161625","67903875","82870125","105319500","88296000","94277625","84854250","85678125","105899625","101941125","101994750","0.05","146.09","143.44","-1.81"
"LAURUSLABS","-","19762500","15126600","13115500","17982600","21139500","15937500","16041200","18927800","19257600","18524050","18186600","18133900","-0.29","1094.4","1381","26.19"
"LICHSGFIN","-","26180000","31981000","29175000","29261000","30687000","33344000","32988000","30190000","32107000","32914000","29380000","29159000","-0.75","553.35","548.45","-0.89"
"VBL","-","44591600","34938150","28154700","39435850","40953875","36788500","50747625","45766125","40250250","43121250","49169250","48761325","-0.83","521.05","535.35","2.74"
"SIEMENS","-","2248375","2110875","2106125","2401500","2190375","2690500","2543450","2389800","2239300","2595425","3002300","2977275","-0.83","3839.8","3680.8","-4.14"
"MARUTI","-","2798450","3083900","3030650","3008850","2657100","2572600","2935200","3082700","2824750","3570200","3145750","3112850","-1.05","12923","13279","2.75"
"SOLARINDS","-","658425","833025","692025","837450","878175","872750","1222700","910450","768700","740750","777600","767050","-1.36","15384","18632","21.11"
"YESBANK","-","927588600","975607000","941552500","822159600","1010532300","1070244300","1118542600","1060634400","988886700","1147465600","1235354200","1217720500","-1.43","20.05","23.01","14.76"
"NIFTY","-","16284750","16453050","16915950","18186450","15169275","14550765","15107105","17426435","14272765","23223655","15683980","15445170","-1.52","24069","23978.9","-0.37"
"ANGELONE","-","20682500","21360000","33312500","36715000","30342500","24472500","36187500","30605000","24432500","29200000","21540000","21192500","-1.61","320.67","346.2","7.96"
"UNITDSPR","-","13269600","16109600","13392400","14055200","12914400","13224800","12042000","10659600","9626000","12042400","10666000","10488800","-1.66","1380.2","1301.5","-5.7"
"HINDALCO","-","51660000","45635800","52119200","59782800","62746600","80346000","67672500","47133100","43375500","46447100","33802300","33159000","-1.9","1076.5","1114","3.48"
"ETERNAL","-","161136400","160205200","252670450","250097525","237829450","285245475","288397975","344653125","246976550","214738600","199577500","195641725","-1.97","255.18","252.4","-1.09"
"SAIL","-","121466800","158291300","140083500","151344700","157252600","138523100","203420700","192220600","158084500","168335200","174271300","170826200","-1.98","187.02","205.65","9.96"
"IEX","-","45097500","34335000","34612500","47216250","74898750","63967500","60281250","72138750","64515000","75131250","69821250","68389350","-2.05","124.91","128.47","2.85"
"FORTIS","-","6849450","9466625","9568150","7374125","9403850","13737650","11435900","12052025","10967800","12351175","9430975","9223275","-2.2","954.6","974.2","2.05"
"RECLTD","-","76251375","82328025","85460700","75977250","86799450","94943750","87663800","77285600","77306600","78198400","66383800","64734250","-2.48","377.2","340.1","-9.84"
"HINDZINC","-","42396025","31164000","27462050","30774450","37515625","37725100","34783875","33176675","36813700","40421325","33845525","32970875","-2.58","608.2","650.7","6.99"
"COLPAL","-","4940100","5520375","4901175","4935825","5719275","5978700","6514200","5134500","5682150","6293025","4986900","4855875","-2.63","2119.4","2072.2","-2.23"
"NIFTYNXT50","-","17750","20350","19500","18850","19050","22575","21050","19900","16150","17850","16800","16300","-2.98","70827.8","71323.6","0.7"
"AUBANK","-","17005000","18866000","18843000","20938000","18405000","15742000","20665000","23570000","19466000","25380000","26068000","25261000","-3.1","1029.7","1021","-0.84"
"BEL","-","102081300","118175250","115544700","108280050","110748150","108215925","124269975","115295325","109270425","109442850","111999300","108348450","-3.26","438.6","423.25","-3.5"
"MIDCPNIFTY","-","2351580","2213400","2632560","2784460","1897000","2739000","1980000","2608680","2623200","2788680","2144400","2058240","-4.02","14043.8","14777.15","5.22"
"DELHIVERY","-","11918800","11869000","12900275","13132675","18641800","17708050","17000475","23783650","23576150","26750900","30440250","29149600","-4.24","467.9","467.25","-0.14"
"PIDILITIND","-","6028500","6649500","7805000","8600500","9245000","6815000","7470000","8301000","7794000","7449500","7002500","6704500","-4.26","1397.6","1485.6","6.3"
"SHRIRAMFIN","-","35556675","38151300","47116575","45475650","49559400","54327075","48690675","44526075","33034650","43833900","43002300","41004975","-4.64","958.55","959.25","0.07"
"PATANJALI","-","21267000","29637000","31446900","31517100","33297300","32504400","38274300","37284300","37442700","35059500","33930000","32344300","-4.67","465.9","467.35","0.31"
"MANAPPURAM","-","26742000","20775000","25407000","26793000","29655000","43545000","39303000","42087000","42897000","52488000","49890000","47553000","-4.68","294.6","332.65","12.92"
